,Text,Label
0,"Боррель призвал к срочному созыву СБ ООН из-за ""прямого нарушения"" территориальной целостности Украины путем признания ДНР и ЛНР.",True
1,"В Офисе президента Украины заявили, что СНБО переведен в режим работы 24/7",True
2,"Турция решительно осуждает признание Россией ДНР и ЛНР независимыми государствами — заявление турецкого МИДа   ""Это вопиющее нарушение международного права, которое должно вызвать самый суровый ответ международного сообщества. Мы твердо поддерживаем суверенитет и территориальную целостность Украины"", — поясняют в ведомстве.",True
3,Украина также требует созвать Совбез ООН,True
4,"Белый дом повторил, что США не имеют планов посылать войска для участия в боевых действиях на Украине",True
5,"Чиновник администрации США утверждает, что речь Путина свидетельствует о неготовности РФ признавать суверенитет Украины   Он подчеркнул, что США примут новые меры в связи с решением России по ДНР и ЛНР.    США намерены продолжать добиваться дипломатического урегулирования ситуации вокруг Украины до начала военных действий.",True
6,Британский премьер проведет заседание чрезвычайного правительственного комитета из-за ситуации вокруг Украины,True
7,Владимир Зеленский в ближайшее время выступит с обращением  Соответствующее заявление сделал секретарь Совета национальной безопасности и обороны Украины Алексей Данилов.,True
8,"Белый дом заявил, что человеческие потери в случае гипотетического вторжения на Украину будут чудовищными",True
9,"Джонсон заявил Зеленскому, что Великобритания рассмотрит возможность отправки дополнительного оборонительного вооружения на Украину.",True
10,США поддержали срочное проведение заседания Совбеза ООН по ситуации вокруг Украины — постпред при ООН,True
11,"Джонсон и Зеленский считают, что запад должен пытаться искать дипломатическое решение кризиса вокруг Украины ""до последней возможной секунды"".",True
12,"Джонсон заявил Зеленскому, что, по его мнению, вторжение на Украину может начаться в ближайшие дни или часы",True
13,Байден: Признание ДНР и ЛНР противоречит обязательствам РФ по минским соглашениям и еще больше угрожает миру и стабильности Украины,True
14,Bloomberg: Вывезенных во Львов американских дипломатов эвакуируют с Украины в Польшу,True
15,Экстренное заседание СБ ООН по Украине ожидается в 5 утра по МСК,True
16,"Зеленский обратился к нации:  — ""Причин для вашей бессонной ночи нет"" — Международные признанные границы Украины останутся такими же, несмотря на действия России — Признание независимости ЛНР и ДНР означает односторонний выход РФ из минских соглашений — ""Нет причин для хаотичных действий"" — ""Украина никому и ничего не должна и никому ничего не отдаст"" — Также Зеленский инициировал экстренное заседание ""Нормандской четверки""",True
17,Путин ужаснулся происходящим в стране    ⁃ вопиющая коррупция   ⁃ гонение за оппозицией   ⁃ бедность населения   ⁃ нет независимых судов   ⁃ санкции против собственных граждан   Это он все про Украину.,True
