,Text,Label
0,"СБУ затримала двох російських інформаторів на Донеччині, допитує ще 10  бойовиків «ЛНР»",True
2,СБУ затримала 5 російських колаборантів і підсанкційного «злодія в законі»,True
3, У Луганській області:   У боях неподалік від Сєвєродонецька українські військові захопили у полон двох мобілізованих в «ЛНР» чоловіків. Наразі вони надають свідчення слідчим СБУ.   ,True
4," У Дніпропетровській області:   СБУ викрила злочинців, які виманювали гроші, зібрані волонтерськими організаціями для ЗСУ.   ",True
5," У Києві, Полтаві та Харкові:   У Харкові СБУ затримала уродженця Брянської області РФ, який збирав інформацію про ЗСУ та результати обстрілів.   У Києві зрадник надсилав ворогу дані щодо розташування військових частин, дислокацію підрозділів ЗСУ та військової техніки у столиці.   У Полтаві затримано ще одного посібника окупантів, якого завербувала ФСБ.   ",True
6," В Одесі та Запоріжжі:   Одну ворожу агітаторку СБУ викрила в Одесі, а ще двох прихильників «руZZкого міра» - у Запоріжжі.   Всі вони затримані і відповідатимуть за законом!",True
8,Медведчук розповів подробиці у справах виведення з держвласності нафтопроводу і закупівлі вугілля в «Л/ДНР»,True
9," Слідчі СБУ повідомили про підозру директору з мовлення російського телеканалу «russia today» Антону Кузнєцову-Красовському, який закликав до ліквідації нашої державності та знищення українців  ",True
10," В Одеській області контррозвідники СБУ затримали російського агента, який коригував ракетні удари по мосту через Дністровський лиман  ",True
11," На Херсонщині викрито підприємця, який організував захоплення Новокаховського підрозділу «Херсонгазу»   ",True
12," У Донецькій області викрито мешканку Краматорська, яка публічно виправдовувала агресію рф  ",True
13," Крім цього, співробітники СБУ повідомили про підозру учаснику незаконних збройних формувань на сході, який організовував блокпости у Харківській області.",True
14, Служба безпеки у результаті слідчо-оперативних дій задокументувала злочинну діяльність начальника одного з регіональних підрозділів Національної енергетичної компанії «Укренерго».  Посадовець добровільно погодився співпрацювати з ворогом та обійняв посаду очільника т. зв. «Маріупольських магістральних мереж днр».  ,True
15," На Донеччині:  контррозвідники СБУ затримали ворожого агента, який збирав розвіддані щодо позицій артилерії та інших бойових підрозділів ЗСУ в районі Бахмута.  ",True
16, У Києві:  військова контррозвідка СБУ встановила місцезнаходження і затримала бойовика терористичного угруповання «восток». Він брав активну участь у захоплені українських військових об’єктів у тимчасово окупованому Донецьку.  ,True
17," У Миколаївській області:  співробітники військової контррозвідки СБУ ліквідували канал збуту зброї та боєприпасів, викрадених поблизу лінії південного фронту.",True
