,Text,Label
0,"Секретар РНБО Данилов прокоментував звинувачення Росії в обстрілі ""прикордонного пункту""",True
1,"Російські війська повідомили, що знищили БМП української армії",True
2,"«Тут таке відчуття, що сєпарі тупо за своїми ху@рять»",True
3,"Знову ""застереження"" про приєднання ""Л/ДНР"" до складу РФ",True
4,"Донбаський ""репортер"" опублікував відео про ""наслідки обстрілів української армії""",True
5,Зелений скликає засідання РНБО о 20:00,True
6,"З'явилося викриття нібито обстрілу ""прикордонного пункту"" у Ростовській області",True
7,Євросоюз закликав Росію не визнавати «ЛДНР»,True
8,"Відео підписання указів про ""визнання"" ""ДНР/ЛНР",True
9,"️Байден підпише указ, спрямований на заборону інвестицій, торгівлі та фінансування ""ДНР"" та ""ЛНР"" - Білий дім",True
10,"Назад у Майбутнє: на відео з підписанням договорів про визнання ""Л/ДНР"" годинник Путіна показує 12:15.",True
11,Новини з небес: 6 авіаперевізників припинили сполучення з Україною,True
12,Хвилина новин від наших західних партнерів:,True
13,Заяви України та Росії на Раді безпеки ООН,True
14,"Парламенти ""ЛНР"" та ""ДНР"" ратифікували договір про дружбу та співпрацю з РФ",True
15,"Зелений заявив, що санкції проти РФ повинні включати повну зупинку «Північного потоку-2».",True
16,Зелений розгляне пропозицію МЗС про припинення дипломатичних відносин з РФ,True
17,"Зелений заявив, що введе військовий стан лише у разі ""потужної війни"" проти України",True
18,"️Сертифікацію ""Північного потоку - 2"" буде зупинено",True
19,"В Луганську ТЕС потрапив снаряд, почалося займання",True
20,"Посли ЄС погодилися на політику невизнання паспортів РФ, виданих громадянам ЛНР та ДНР",True
21,Відвернемося від бананових республік та засуджень,True
22,Прем'єр-міністр Британії Борис Джонсон у парламенті щодо санкцій проти Росії,True
23,️Тим часом йде сильний обстріл Щастя,True
24,"Верховна Рада ухвалила заяву про засудження Росії за визнання незалежності ""Л/ДНР""",True
25,"СБУ опублікувала перехоплені розмови бойовиків ""Л/ДНР""",True
26,Путін просить Радфед дозволити використання російських військ за межами Росії.,True
27,О 21:00 за Києвом Байден виступить із заявою на рахунок України та Росії,True
28,Росія намагається розпочати бунти в українських в'язницях,True
29,Тим часом в Одесі спалюють документи у консульстві РФ,True
30,Зеленський звернувся до українців. Коротко:,True
31,Брифінг глави МЗС України та держсекретаря США Блінкена. Тезово:,True
32,Сьогодні починається заклик резервістів до лав ВСУ,True
33,"У регіонах України, які межують з РФ та Білоруссю тимчасові режимні обмеження",True
34,"«Важливо, що наші люди скуповують не гречку, а зброю»",True
35,️РФ розпочала евакуацію всіх дипломатичних представництв в Україні. спалив,True
36,"«Це п**дец. Дзвонять із ""Суспільного"", чого не голосував?»",True
37,️Почалася нова кібератака на сайти українських держорганів,True
38,"""У України немає планів щодо створення ядерної зброї"", - заявив глава МЗС Кулеба на Раді Безпеки ООН.",True
39,Соціальні мережі російських пропагандистів будуть заблоковані,True
40,Хто тепер контролює російський общак в Україні?,True
41,"Верховна Рада ухвалила законопроект про виділення додаткових 9,1 млрд. гривень на оборону України.",True
42,"У Краматорську пройшла акція ""Краматорськ – це Україна""",True
43,А ось так мужики на Донбасі ховаються від призову до армії,True
44,"У Криму закрили пункти пропуску ""Каланчак"" та ""Чонгар"" на в'їзд та виїзд для громадян України",True
45,️Верховна Рада запровадила режим надзвичайного стану,True
46,"""Росія зіткнеться з безпрецедентною ізоляцією""",True
47,"️Відео повітряного бою під Києвом. За словами очевидців, у небі бачили Міг-29 та Су-25.",True
48,"Чехія зупиняє видачу віз росіянам,",True
49,"Кличко заявив про введення в Києві комендантської години. При цьому він не уточнив, який саме це годинник.",True
50,«Російські окупанти б'ють по цивільних об'єктах,True
51,"«Бліцкриг, який планував Путін – накрився мідним тазом»",True
52,«18 Іл-76 злетіли з російського Пскова у напрямку Києва і будуть там протягом години»,True
53,Мітинги на підтримку України відбуваються зараз у всьому світі.,True
54,Репер Оксимирон підтримав Україну та закликав Путіна зупинити війну,True
55,️ Борис Джонсон заявив. Коротко:,True
56,"""Ситуація дуже серйозна, ми не бачили такого в Європі 75 років""",True
57,"Байден заявляє, що лідери G7 згодні запровадити ""нищівний"" пакет санкцій проти РФ. Може",True
58,Розпочався виступ Байдену Україною,True
59,У консульства Росії у Тель-Авіві громадяни РФ спалюють свої паспорти.,True
60,Футболіст нашої збірної та футбольного клубу Аталанта Руслан Малиновський забив гол у Лізі Європи та звернув увагу всього світу на ситуацію в Україні,True
61,"Російський десант у Гостомелі знищено, тепер точно",True
62,Чоловіків 18-60 років не випускатимуть з України,True
63,Указ про загальну мобілізацію. Що це означає: проводиться у всіх областях України – Терміни протягом 90 діб.,True
64,У Вінниці звучать сирени повітряної тривоги,True
65,Anonymous оголосили кібер-війну владі Росії,True
66,На місці падіння літака палає дев'ятиповерховий будинок - з 4 по 9 поверх.,True
67,Ворог намагається прорватися у Запорізькій області,True
68,️НАТО скликає екстрений саміт із приводу ситуації в Україні сьогодні о 16:00,True
69,"Совбез ООН проведе голосування щодо резолюції, яка засуджує Росію за її вторгнення в Україну",True
70,"У бік Києва рухаються російські танки, але біля Іванкова зав'язався бій - УП в Генштабі ЗСУ",True
71,Перші смуги зарубіжних видань сьогодні,True
72,"Виїзд на новоірпенську трасу недоступний. Висадили в повітря міст, щоб не проїхав противник",True
73,Поліція Київської області під Гостомелем під час бойового зіткнення затримала двох російських окупантів.,True
74,"️Харків, Київ, Чернігів - тривога! Все в приховані.",True
75,ЄС ухиляється від вимог відключити Росію від,True
76,"Подробиці про бронетехніку ворога в Києві, на Оболоні Встоїмо разом!",True
77,"Екс-канцлер Німеччини Ангела Меркель вперше після звільнення з посади зробила публічну заяву, засудивши російську військову операцію в Україні",True
78,«Ніхто не має наміру окупувати Україну. Ніхто не збирається нападати на народ України»,True
79,Зеленський запропонував Путіну зустрітися і «сісти за стіл переговорів»,True
80,«Наступного разу спробую посунути графік війни»,True
81,"Пекін назвав війну РФ в Україні - ""українською кризою""",True
82,"Кличко закликав киян зробити запаси води, їжі та речей першої необхідності",True
83,"Друзі! Ситуація складна і напружена.Місто вступило у фазу оборони. Нині у деяких районах столиці лунають постріли та вибухи. Українські військові знешкоджують диверсійні групи росіян. Усі, хто може обороняти місто, повинні долучатися. І допомагати нашим воякам.",True
84,ЄС планує заморозити активи Путіна та Лаврова,True
85,️ У Харкові оголошено повітряну тривогу,True
86,З'явилося нове відео розстрілу російської ДРГ на Оболоні,True
87,Росію позбавили права участі у Кабміні Ради Європи та ПАРЄ,True
88,Поліція просить голів ОСББ закрити доступ до дахів багатоповерхівок,True
89,"У Миколаєві готують коктейлі ""Молотова"" та готові зустрічати окупантів",True
90,Російські війська обстріляли корпуси Чернігівської психоневрологічної лікарні,True
91,️Приблизна карта бойових дій станом на зараз,True
92,Зафарбовування міток наведення – не допомагає,True
93,Прем'єр-міністр Великобританії Борис Джонсон: Я введу санкції проти Путіна та Лаврова якнайшвидше,True
94,"«Італія підтримає відключення Росії від SWIFT, - Кулеба",True
95,"Влада Києва звертається до мешканців багатоповерхових будинків, які мають доступ до виходу на дах, з проханням терміново перевірити дахи на наявність міток.",True
96,Полонений російський окупант дзвонить батькам до Росії,True
97,"Нацгвардія затримала фейковий підрозділ ""тероборони"" у Києві",True
98,Чернігів перебуває під контролем ЗСУ за день поранено 5 осіб,True
99,Заява Байдена за підсумками телефонної розмови з Володимиром Зеленським та саміту НАТО.,True
100,"Зелений: Ця ніч буде важчою, ніж день. Під ударом – багато міст: Чернігів, Суми, Харків, Донбас, південь України та особлива увага до Києва. Не можна втратити столицю.",True
101,️У Київському метро 2 години тому народилася дитина,True
102,"️Росія заблокувала в РБ ООН резолюцію західних країн із засудженням ""операції"" РФ в Україні ООН",True
103,️ЕС вводить такі санкції проти Росії:,True
104,"Маша Єфросиніна записала відеозвернення до Миколи Баскова, Тіни Канделакі та інших зірок російського шоу-бізнесу",True
105,Українські хакери заблокували роботу сайтів 2 найбільших банків Росії.,True
106,Мадонна виступила на підтримку України:,True
107,️ WhatsApp прослуховується ворожими військами Увага! Просимо потурбуватися про інформаційну безпеку під час спілкування в мессенджерах!,True
108,"️На сьогоднішній день загинуло понад 3,5 тисячі російських ворогів і майже 200 потрапили в полон - Подоляк",True
109,"Найтитулованіший гонщик в історії ""Формули 1"" - британець Льюїс Хемілтон - також не залишився осторонь нашої війни і підтримав Україну у своєму Інстаграмі:",True
110,Російські десантники перевдягаються у форму ЗСУ,True
111,Такі пристрої знаходять на відкритих місцевостях,True
112,"️Дуже потужний вибух у Києві, ніби щось упало.",True
113,"Російські інші використовують такі фейкові, але якісно зроблені документи.",True
114,️Термінове звернення від міського голови Чернігова Владислава Атрошенко.,True
115,"Свідчення очевидця удару по дому на Лобановського – глави родини. Каже, що у дружини та старшого сина переламані ноги.",True
116,"Черговий полонений, який «виїхав на навчання»",True
117,Дмитро Кулеба вимагає повної міжнародної ізоляції Росії.,True
118,"️Макрон заявив, що війна РФ з Україною триватиме довго, і закликав готуватися до довгострокових наслідків для Європи.",True
119,Розмова з російським військовим дорогою на Суми.,True
120,Нагадуємо як переслати гроші з єПідтримки на потреби ЗСУ,True
121,"Інформація підтвердилася Держагенство з управління зоною відчуження заявляє про те, що над Чорнобильською зоною російська армія провела імітацію повітряного бою",True
122,Очевидці з Білорусі повідомляють: міста Лунинця,True
123,Комендантська година у Харкові тепер з 18:00 до 06:00,True
124,️Естонія закриває повітряний простір для літаків Росії,True
125,"""Вони приїхали на гівні"" Російська техніка зсередини.",True
126,Олена Кравець із «Вечірнього кварталу» зі сльозами на очах звернулася до своїх знайомих та квнщиків із Росії:,True
127,"Інструкція, як протидіяти противнику",True
128,"Повний список країн, що закрили повітряні кордони для Росії, зараз",True
129,Також про загрозу атаки повідомляє Херсонська міськрада.,True
130,В Одесі було чутно сильний вибух у центрі,True
131,У Києві затримали ще одного диверсанта!,True
132,Bloomberg: США розглядають санкції проти ЦБ Росії через напад на Україну.,True
133,Володимир Кличко звернувся до демократичного світу із закликом негайно допомогти зупинити війну Росії проти України.,True
