,Text,Label
0,Майже по всій Україні зникла електроенергія після ударів рф по енергетичній інфраструктурі — супутниковий знімок NASA,False
1,ФОТОУ Дагестані за наказом влади скасували часткову мобілізацію,False
2,Війська рф у Балаклії та Ізюмі перегрупувалися для наступу на Донецькому напрямку,False
3,У Маріуполі Червоний Хрест збирав медкарти дітей із позначенням здорових органів,False
4,Польська розвідка підготувала доповідь про катастрофічний стан ЗСУ,False
5,Тероборона розмістила ракетні установки в одеській поліклініці,False
6,"Україна втратила флот, авіацію, ПВО та контроль над Харковом",False
7,За Статутом ООН мешканці тимчасово окупованих територій мають право голосувати на псевдореферендумах за приєднання до рф,False
8,"Донька Зеленського визнала, що її батько — нацист та вбивця українського народу",False
9,Телефонна розмова Путіна та Шойгу щодо війни в Україні,False
10,Під Лисичанськом російські війська знищили диверсійно-розвідувальну групу «Грузинського легіону»,False
11,"Усіх українців, які отримували гуманітарну допомогу від росії у Балаклії, ув’язюватимуть",False
12,ФОТОФото трун із тілами російських військових у 2022 році,False
13,Відео з бункерів заводу «Азовсталь»,False
14,Кокаїн на столі у Зеленського під час відеоперемовин,False
15,рф завдала удару по ангарах з іноземною зброєю у ТЦ «Амстор» та на заводі «Кредмаш» у Кременчуці,False
16,У Дніпрі жінку прив’язали до стовпа за використання російською мови,False
17,Біля кордонів із рф в Україні США розробляли біологічну зброю,False
18,У Гостомелі знімають фейковий відеосюжет про звірства російських військ — відео,False
19,ФОТОЗеленський опублікував автобіографічну книгу з назвою «Моя боротьба»,False
20,ВІДЕОПлакати в метро Вільнюса на підтримку України,False
21,"Акваторію Чорного та Азовського морів замінувала Україна, а не росія",False
22,Українські націоналісти розстріляли колону біженців із Харкова,False
23,Україна фальсифікує смерті: жертви російських окупантів курять на вантажівці у перервах між зйомками,False
24,СБУ підірвали цистерну з аміачною селітрою у Харківській області для інсинуації російської хімічної атаки,False
25,Повітряні сили росії збили український літак із західною зброєю над Одесою,False
26,Біженців депортують із Європи задля примусової мобілізації в Україні,False
27,Затримання в Маріуполі командира українського полку «Азов» навесні 2022 року,False
28,У різних містах ЗСУ перетворюють лікарні на військові бази,False
29,Російські військові повністю контролюють територію навколо Запорізької АЕС,False
30,"Влада Запоріжжя заявила, що на Заході в українських біженців забирають дітей",False
31,У Маріуполі з 2019 року готувалися до української провокації з використанням хімічної зброї,False
32,Французька анімаційна студія випустила мультфільм «Stop nazi games» про Україну,False
33,Українська влада навмисно заразила людей туберкульозом на окупованій Луганщині,False
34,ФОТОРапорт Міністерства оборони України про передачу ЗСУ невідомих психотропних речовин,False
35,В Україні готують референдум про входження Львівської області до складу Польщі,False
36,Україна збиралася відновити ядерний арсенал,False
37,ООН запланувала організацію голоду в 2022-2023 роках,False
38,"Очільниця розвідки США Авріл Хейнс заявила, що росія за будь-якого сценарію досягне успіху в Україні",False
39,Європарламент не знайшов доказів спонсорування тероризму з боку росії,False
40,SMS-повідомлення від абонента Ukraine з текстом «розкажи свою історію війни» — це фішинг,False
41,18 лютого 2022 року в Луганську загорівся газопровід «Дружба»,False
42,Відео розгону мітингу пожежників і лікарів в окупованому Енергодарі,False
43,ЗСУ завдали удару по сховищу радіоактивних відходів Запорізької АЕС,False
44,Польки знову напали на українок — відео,False
45,Відео роботи української артилерії на Луганщині у травні 2022 року,False
46,Відео наслідків обстрілу Одеської ТЕЦ 26 квітня 2022 року,False
47,ФОТОУ «Сімпсонах» передбачили російсько-українську війну,False
48,Україну «накачують» зброєю й утримують від мирних переговорів — Лавров,False
49,"Анджей Дуда, президент Польщі, є онуком Михайла Дуди, українського нациста",False
50,Українські військові готують провокацію на місці поховання померлих від чуми в Одесі,False
