,Text,Label
0," На Донбасі за минулу добу зафіксували 80 порушень режиму припинення вогню з боку бойовиків, 72 з яких — із застосуванням забороненого озброєння. Один український військовий отримав поранення.  ",True
1," Байден і Путін погодилися зустрітися на саміті для обговорення ситуації на українських кордонах, повідомили у Білому домі та додали, що саміт проведуть лише за умови, що Росія не вторгнеться в Україну.  ",True
2," У Мюнхені завершилася триденна безпекова конференція, на якій однією з головних тем був ризик російського вторгнення в Україну. Росія вперше за 20 років відмовилась від участі. Зібрали найголовніше, що говорили про Україну.   ",True
3," За минулу добу в Україні COVID-19 виявили у 13 562 людей. Через ускладнення померли 127 пацієнтів. Щеплення отримали понад 17 тисяч українців.    Про погоду: в західних областях України очікується дощ, в Карпатах — мокрий сніг, а на решті територій — без опадів. Температура повітря вдень сягатиме 6-11 градусів тепла.  Курс валют:  USD 28,34 EUR 32,19",True
4,"Президент Зеленський у терміновому зверненні заявив, що Україна кваліфікує визнання Росією незалежності так званих «Л/ДНР» як порушення свого суверенітету й територіальної цілісності та вихід з Мінських домовленостей. Він додав, що  «зараз немає жодних причин для хаотичних дій».   ",True
5," За минулу добу на Донбасі з боку бойовиків зафіксували 84 порушення режиму припинення вогню. Двоє українських військових загинули, ще 18 — отримали поранення чи травмування.   ",True
6," Відбулося засідання Радбезу ООН на тлі заяви Путіна про визнання правосуб’єктності так званих «Л/ДНР»: Україна наполягає на застосуванні проти Росії «болючих» санкцій, а російський представник заявив, що Україна зобовʼязана вступити у перемовини з представниками бойовиків.   ",True
7,"Байден підписав указ про санкції, які передбачають зокрема заборону інвестицій та товарообіг з окупованими територіями. Як реагують у світі на рішення Путіна — тут.   ",True
8," За минулу добу в Україні COVID-19 виявили у 24 440 людей. Через ускладнення померли 287 пацієнтів. Щеплення отримали майже 57 тисяч українців.    Про погоду:  у південних, більшості центральних та східних областей прогнозують невеликий дощ. Температура коливатиметься від 7 до 11 градусів тепла.   Курс валют:  USD 28,34 EUR 32,29",True
9," За минулу добу на Донбасі бойовики 96 разів порушили режим припинення вогню. Один український військовий загинув, ще п'ятеро — отримали бойове травмування.   ",True
10," Український уряд запевнив, що не планує проводити евакуацію Харкова та Маріуполя на тлі загрози російського вторгнення.  ",True
11," В Україну прибула друга партія військової допомоги від Канади. Міністерка оборони країни Аніта Ананд запевнила, що Канада і надалі підтримуватиме Україну.  ",True
12,Японія запровадила санкції через визнання Росією так званих «Л/ДНР». Вони передбачають зокрема заборону на випуск російських облігацій у Японії та заморожування активів деяких росіян.   ,True
13," За минулу добу в Україні COVID-19 виявили у 25 062 людей. Через ускладнення померли 297 пацієнтів. Щеплення отримали понад 62 тисяч українців.    Про погоду: у південно-східних і східних областях прогнозують дощ, у західних — мокрий сніг та дощ, на решті територій — без опадів. Температура повітря вдень коливатиметься від 2 до 7 градусів тепла.   Курс валют:  USD 28,99 EUR 32,90",True
14," Росія втратила в Україні орієнтовно понад 50 тисяч своїх військових з початку повномасштабного вторгнення, повідомили в Генштабі ЗСУ.  ",True
15," Унаслідок ранкового ракетного удару по Кривому Рогу спалахнула сильна пожежа на нафтобазі. На місці працюють рятувальники, інформацію про руйнування та жертв уточнюють.  ",True
16," Уночі російські війська завдали двох ударів по Індустріальному району Харкова, загинула жінка. Близько 9 ранку в місті знову пролунали вибухи — унаслідок ракетних ударів зруйнована багатоповерхівка, інформації про поранених наразі немає.  ",True
17," Під російський обстріл уночі вкотре потрапили Нікополь та Марганець на Дніпропетровщині: двох поранених з Нікополя ушпиталили, пошкоджені будинки, понад дві тисячі сімей залишились без світла.  ",True
18," Президент США Байден відповів негативно на питання журналістів, чи слід визнати Росією державою-спонсором тероризму через війну проти України.",True
19," Протягом доби українська авіація здійснила 27 ударів та знищила склад боєприпасів РФ. Також завдали ураження по майже 40 опорних пунктах та місцях скупчення сил і техніки російських військових, інформує Генштаб.  ",True
20," Росіяни намагалися «тиснути» на генерального директора МАГАТЕ Гроссі, коли фахівці агенції готували звіт щодо ситуації на Запорізькій АЕС, заявив постійний представник України при ООН Кислиця.   ",True
21," Нова прем'єр-міністерка Великої Британії Трасс обговорила з президентом США Байденом «вирішення спільних викликів, спричинених війною Путіна», повідомила вона у Twitter.  ",True
22," Президент Росії Путін може спробувати змусити МАГАТЕ та міжнародне співтовариство визнати де-факто право РФ брати участь в експлуатації ЗАЕС. Щодо станції можуть бути нові «Мінські угоди», йдеться в аналітичному звіті Інституту вивчення війни (ISW).",True
23," Вночі російські війська чотири рази обстріляли з «Градів» та важкої артилерії Нікопольський район: пошкоджені приватні будинки, декілька панелей сонячної електростанції та гімназія. Попередньо, поранених та загиблих немає.  ",True
24," Також внаслідок ракетного удару, який РФ завдала вночі, зруйнована адмінбудівля підприємства у Холодногірському районі Харкова, а в Салтівському — через влучання сталася пожежа, її вже загасили. Люди не травмувалися.   ",True
25," Тим часом українським військовим на південному сході Харківської області вдалося провести контрнаступ та звільнити приблизно 400 квадратних кілометрів території, йдеться в звіті американського Інституту вивчення війни (ISW).  ",True
26,"З початку «зернової угоди»  з портів Одещини вийшло понад сто суден, якими з України експортували понад два мільйони тонн агропродукції.",True
27," Уночі та зранку російські війська обстріляли Харків: влучили по приватному сектору та одному з університетів, одна людина отримала поранення.   ",True
28," Під артилерійський обстріл вкотре потрапив Нікопольський район на Дніпропетровщині: жертв немає. Також уночі російські війська вкотре обстріляли Слов'янськ на Донеччині, повідомив голова ВЦА Лях та закликав мешканців евакуюватись.  ",True
29," Українські війська ведуть контрнаступ на Харківському напрямку та за три дні просунулись майже на 50 км, повідомили в Генштабі ЗСУ.  ",True
30," ЗСУ відбили російські атаки поблизу сімох населених пунктів, а також завдали 20 авіаударів по російським позиціям. За добу РФ втратила близько 650 військових та кілька десятків одиниць техніки.  ",True
31," У КНДР ухвалили закон, який дозволяє використовувати ядерну зброю «у разі загрози». Кім Чен Ин матиме одноосібний контроль над ядерними збройними силами.",True
32," Військові РФ обстріляли три райони Дніпропетровщини: Дніпровський, Нікопольський та Синельниківський. Поранених та загиблих немає. Також російська армія обстріляли вночі Миколаїв, попередньо без жертв.  ",True
33," Українські військові у Харківській області в ході контрнаступу станом на 9 вересня відвоювали близько 2500 квадратних кілометрів. Також ЗСУ можуть зруйнувати позиції РФ і створити для їхніх військ котел навколо Ізюма, повідомили в Інституті вивчення війни (ISW).   ",True
34," Армія РФ за добу завдала 13 ракетних та 23 авіаційні удари по території України. ЗСУ відбили атаки поблизу п'ятьох населених пунктів і завдали ударів по складу боєприпасів та по 25 опорних пунктах і місцях скупчення російських військових, повідомляє Генштаб.  ",True
35, Президент США Байден планує відвідати церемонію прощання з королевою Великої Британії та Північної Ірландії Єлизаветою II.,True
36," Запорізьку АЕС повністю зупинили: шостий енергоблок відключили енергомережі та мають перевести його в «холодний зупин» — найбільш безпечний стан, повідомили в Енергоатомі.  ",True
37," Генштаб підтвердив, що ЗСУ зайшли до Куп'янська на Харківщині, про що стало відомо 10 вересня. Триває звільнення населених пунктів Куп'янського та Ізюмського районів.  ",True
38,Вночі під обстріл потрапив Покровськ на Донбасі: наразі відомо про чотирьох загиблих та шістьох поранених людей. Пошкоджено понад 20 житлових будинків. Також російські військові вдарили по промисловій зоні Краматорська.  ,True
39," Також вночі російські війська обстріляли Миколаїв: дев'ять людей поранено, троє з них перебувають у лікарні. Внаслідок влучання у двір п’ятиповерхівки один під’їзд майже знищено пожежею та вибухом, пошкоджено приватний будинок.  ",True
40,"Російські військові вдарили ракетою по центру Дніпра. За попередніми даними, поранення отримав 72-річний чоловік, його госпіталізували у тяжкому стані. Є руйнування житлових будинків магазинів, ринку.",True
41, 11 вересня армія РФ з «Ураганів» обстріляла Великомихайлівську громаду Синельниківського району Дніпропетровщини. Загинули чоловік та жінка. Поранена дівчина – у тяжкому стані.  ,True
42, Продовжується звільнення населених пунктів від російських військових у Харківській та Донецькій областях: 11 вересня окупанти вивезли награбоване майно та транспортні засоби з населених пунктів Великий Бурлук та Дворічна Харківської області.  ,True
43," Протягом доби 11 вересня військові РФ завдали 18 ракетних та 39 авіаційних ударів по території України. У той же час авіація Сил оборони України завдала вісім ударів по російських військових: уражено взводний опорний пункт, шість районів зосередження живої сили і військової техніки та зенітний ракетний комплекс.  ",True
44," У Харкові відновили водопостачання, метро і наземний електротранспорт працюють у штатному режимі, повідомив міський голова Терехов.  ",True
