,Link,Text,Label
0,https://t.me/perepichka_news/22577,"Секретар РНБО Данилов прокоментував звинувачення Росії в обстрілі ""прикордонного пункту""",True
1,https://t.me/perepichka_news/22586,"Російські війська повідомили, що знищили БМП української армії",True
2,https://t.me/perepichka_news/22589,"Ватажки ""Л/ДНР"" Пушилін та Пасічник попросили Путіна визнати ""республіки""",True
3,https://t.me/perepichka_news/22595,Голова Держдуми РФ Володін звернувся до Путіна з проханням визнати ДНР та ЛНР,True
4,https://t.me/perepichka_news/22602,"З'явилося викриття нібито обстрілу ""прикордонного пункту"" у Ростовській області",True
5,https://t.me/perepichka_news/22608,Євросоюз закликав Росію не визнавати «ЛДНР»,True
6,https://t.me/perepichka_news/22626,"Путін визнав незалежність ""ЛНР"" та ""ДНР""",True
7,https://t.me/perepichka_news/22631,Глави Єврокомісії та Євроради назвали визнання Росією незалежності «ДНР» та «ЛНР» порушенням міжнародного права та територіальної цілісності України.,True
8,https://t.me/perepichka_news/22632,"Зеленський заявив, що обговорив події останніх годин з Байденом, планує розмову з Джонсоном, а засідання РНБО лише розпочинається.",True
9,https://t.me/perepichka_news/22633,"Росія визнала ""ЛДНР"" у межах, які зараз фактично встановлені",True
10,https://t.me/perepichka_news/22634,"️Байден підпише указ, спрямований на заборону інвестицій, торгівлі та фінансування ""ДНР"" та ""ЛНР"" - Білий дім",True
11,https://t.me/perepichka_news/22650,Заяви України та Росії на Раді безпеки ООН,True
12,https://t.me/perepichka_news/22655,"Парламенти ""ЛНР"" та ""ДНР"" ратифікували договір про дружбу та співпрацю з РФ",True
13,https://t.me/perepichka_news/22657,"Зелений заявив, що санкції проти РФ повинні включати повну зупинку «Північного потоку-2».",True
14,https://t.me/perepichka_news/22658,Зелений розгляне пропозицію МЗС про припинення дипломатичних відносин з РФ,True
15,https://t.me/perepichka_news/22659,"Зелений заявив, що введе військовий стан лише у разі ""потужної війни"" проти України",True
16,https://t.me/perepichka_news/22664,"️Сертифікацію ""Північного потоку - 2"" буде зупинено",True
17,https://t.me/perepichka_news/22665,"Ми об'єднуємося перед загрозою та боротимемося» Лідер ""УДАРу"" Віталій Кличко",True
18,https://t.me/perepichka_news/22666,"В Луганську ТЕС потрапив снаряд, почалося займання",True
19,https://t.me/perepichka_news/22669,"Посли ЄС погодилися на політику невизнання паспортів РФ, виданих громадянам ЛНР та ДНР",True
20,https://t.me/perepichka_news/22673,Прем'єр-міністр Британії Борис Джонсон у парламенті щодо санкцій проти Росії,True
21,https://t.me/perepichka_news/22675,️Тим часом йде сильний обстріл Щастя,True
22,https://t.me/perepichka_news/22677,"Верховна Рада ухвалила заяву про засудження Росії за визнання незалежності ""Л/ДНР""",True
23,https://t.me/perepichka_news/22687,Путін просить Радфед дозволити використання російських військ за межами Росії.,True
24,https://t.me/perepichka_news/22699,Росія намагається розпочати бунти в українських в'язницях,True
25,https://t.me/perepichka_news/22708,Тим часом в Одесі спалюють документи у консульстві РФ,True
26,https://t.me/perepichka_news/22713,Надзвичайне становище можуть запровадити у Донецькій та Луганській областях,True
27,https://t.me/perepichka_news/22730,Сьогодні починається заклик резервістів до лав ВСУ,True
28,https://t.me/perepichka_news/22733,"У регіонах України, які межують з РФ та Білоруссю тимчасові режимні обмеження",True
29,https://t.me/perepichka_news/22742,️РФ розпочала евакуацію всіх дипломатичних представництв в Україні. спалив,True
30,https://t.me/perepichka_news/22748,️Почалася нова кібератака на сайти українських держорганів,True
31,https://t.me/perepichka_news/22758,"""У України немає планів щодо створення ядерної зброї"", - заявив глава МЗС Кулеба на Раді Безпеки ООН.",True
32,https://t.me/perepichka_news/22761,Соціальні мережі російських пропагандистів будуть заблоковані,True
33,https://t.me/perepichka_news/22764,"Верховна Рада ухвалила законопроект про виділення додаткових 9,1 млрд. гривень на оборону України.",True
34,https://t.me/perepichka_news/22765,"У Краматорську пройшла акція ""Краматорськ – це Україна""",True
35,https://t.me/perepichka_news/22772,Кулеба звернувся до НАТО із проханням закрити повітряний простір над Україною.,True
36,https://t.me/perepichka_news/22773,"У Криму закрили пункти пропуску ""Каланчак"" та ""Чонгар"" на в'їзд та виїзд для громадян України",True
37,https://t.me/perepichka_news/22775,️Верховна Рада запровадила режим надзвичайного стану,True
